matricule,name,cisco,studied_at,results
140630,RAKOTOMALALA Zara,AMBOHIMAHASOA,EPP Andapa,admis
140671,RAZAFINDRAKOTO Fitiavana,AMBOHIMAHASOA,EPP Ihosy,admis
140619,RAKOTOBE Koto,AMBOHIMAHASOA,EPP Moramanga,admis
140621,RASOANAIVO Kintana,AMBOHIMAHASOA,EPP Mandritsara,admis
140610,RAHANTANIRINA Soa,AMBOHIMAHASOA,EPP Ambovombe,non admis
140662,RAVELOMANANA Rado,AMBOHIMAHASOA,EPP Mananjary,admis
140627,RAKOTOMANANA Jean,AMBOHIMAHASOA,EPP Ihosy,admis
140637,RAKOTONIAINA Lalaina,AMBOHIMAHASOA,EPP Mandritsara,admis
140605,RAHARINIRINA Soa,AMBOHIMAHASOA,EPP Ambovombe,non admis
140642,RAKOTOMANGA Fahasina,AMBOHIMAHASOA,EPP Mandritsara,admis
140646,RABEMANANTSOA Voahangy,AMBOHIMAHASOA,EPP Nosy Be,admis
140696,RANDRIANAMPARANY Mahery,AMBOHIMAHASOA,EPP Belo,admis
140623,RASOAMANARIVO Malala,AMBOHIMAHASOA,EPP Mandritsara,admis
140633,RASOAMANARIVO Ialy,AMBOHIMAHASOA,EPP Belo,admis
140649,RATSIMBAZAFY Randria,AMBOHIMAHASOA,EPP Nosy Be,admis
140612,RAVELOMANANA Rado,AMBOHIMAHASOA,EPP Bealanana,non admis
140670,RABEMANANTSOA Fara,AMBOHIMAHASOA,EPP Ambositra,admis
140635,RAHARINAIVO Haja,AMBOHIMAHASOA,EPP Bealanana,admis
140600,RANDRIANAMPARANY Ialy,AMBOHIMAHASOA,EPP Nosy Be,non admis
140644,RANARIVELO Tovo,AMBOHIMAHASOA,EPP Ambovombe,admis
140609,RAHANTANIRINA Rina,AMBOHIMAHASOA,EPP Andapa,non admis
140681,RAKOTOMALALA Tovo,AMBOHIMAHASOA,EPP Andapa,admis
140683,RANDRIANJOHARY Onja,AMBOHIMAHASOA,EPP Ambositra,admis
140675,ANDRIAMATOA Fara,AMBOHIMAHASOA,EPP Ambanja,admis
140697,RAKOTOMANGA Voahirana,AMBOHIMAHASOA,EPP Morondava,admis
140652,RANDRIANASOLO Randria,AMBOHIMAHASOA,EPP Ambatondrazaka,admis
140638,RAVELONIRINA Ialy,AMBOHIMAHASOA,EPP Antananarivo,admis
140685,RAKOTONDRAZAKA Tojo,AMBOHIMAHASOA,EPP Belo,admis
140614,RAKOTOMANGA Sitraka,AMBOHIMAHASOA,EPP Toamasina,admis
140604,RASOAMANARIVO Soava,AMBOHIMAHASOA,EPP Ambositra,non admis
140673,RAKOTONDRAVONY Fara,AMBOHIMAHASOA,EPP Maroantsetra,admis
140639,RASOLOARIVONY Tovo,AMBOHIMAHASOA,EPP Ambositra,admis
140674,RAKOTOMANANA Tiana,AMBOHIMAHASOA,EPP Fianarantsoa,admis
140657,RASOAMANARIVO Tiana,AMBOHIMAHASOA,EPP Ihosy,admis
140606,RAKOTONDRAMBOA Santatra,AMBOHIMAHASOA,EPP Belo,non admis
140663,RAZAFINDRAKOTO Ialy,AMBOHIMAHASOA,EPP Andapa,admis
140677,RAKOTOARISOA Zara,AMBOHIMAHASOA,EPP Mahajanga,admis
140620,RAVELONIRINA Faly,AMBOHIMAHASOA,EPP Toamasina,admis
140650,RAFIDIMANANA Miora,AMBOHIMAHASOA,EPP Bekily,admis
140698,RAKOTONANAHARY Ando,AMBOHIMAHASOA,EPP Antalaha,admis
140676,RABEMANANTSOA Voahangy,AMBOHIMAHASOA,EPP Mananjary,admis
140617,RAJAONARISON Zara,AMBOHIMAHASOA,EPP Manakara,admis
140666,RAKOTO Soava,AMBOHIMAHASOA,EPP Mandritsara,admis
140655,RAKOTONIRINA Sitraka,AMBOHIMAHASOA,EPP Bekily,admis
140611,RAFIDIMANANA Sitraka,AMBOHIMAHASOA,EPP Ambovombe,non admis
140640,RANDRIANARY Miora,AMBOHIMAHASOA,EPP Mananjary,admis
140607,RAKOTONDRABE Herisoa,AMBOHIMAHASOA,EPP Bealanana,non admis
140694,RABEMANANTSOA Fitiavana,AMBOHIMAHASOA,EPP Ambovombe,admis
140603,RAKOTONIRINA Kintana,AMBOHIMAHASOA,EPP Bekily,non admis
140613,RAKOTONANAHARY Fitiavana,AMBOHIMAHASOA,EPP Fianarantsoa,non admis
140641,RATOVO Tovo,AMBOHIMAHASOA,EPP Ambanja,admis
140693,RAKOTONANAHARY Sarobidy,AMBOHIMAHASOA,EPP Bealanana,admis
140618,RAHANTANIRINA Fitiavana,AMBOHIMAHASOA,EPP Moramanga,admis
140667,RAKOTONDRAVAO Solofonirina,AMBOHIMAHASOA,EPP Morondava,admis
140659,RAKOTONDRAVONY Zo,AMBOHIMAHASOA,EPP Toliara,admis
140687,RANDRIAMBOLOLONA Ialy,AMBOHIMAHASOA,EPP Toliara,admis
140672,RAHANTANIRINA Sarobidy,AMBOHIMAHASOA,EPP Antananarivo,admis
140692,RAJOELINA Onja,AMBOHIMAHASOA,EPP Manakara,admis
140629,RAJAONARISON Fara,AMBOHIMAHASOA,EPP Ihosy,admis
