matricule,name,cisco,studied_at,results
140866,RAKOTOMANGA Jean,AMBOVOMBE,EPP Morondava,admis
140804,RANDRIAMANANTENA Malala,AMBOVOMBE,EPP Ampanihy,non admis
140859,RAHARINAIVO Ialy,AMBOVOMBE,EPP Belo,admis
140840,RAKOTONDRAMBOA Haja,AMBOVOMBE,EPP Antananarivo,admis
140873,RASOAMANARIVO Miary,AMBOVOMBE,EPP Belo,admis
140819,RAKOTONDRAVAO Ialy,AMBOVOMBE,EPP Antalaha,admis
140801,RAFANOMEZANTSOA Zo,AMBOVOMBE,EPP Bealanana,non admis
140822,RANDRIANARY Sarobidy,AMBOVOMBE,EPP Antananarivo,admis
140891,RAHARISON Haja,AMBOVOMBE,EPP Antalaha,admis
140874,RAHARIMANANA Onja,AMBOVOMBE,EPP Farafangana,admis
140892,RANDRIANASOLO Fitia,AMBOVOMBE,EPP Ambositra,admis
140841,RAKOTOMANANA Faly,AMBOVOMBE,EPP Antalaha,admis
140823,RAKOTONDRAVAO Kintana,AMBOVOMBE,EPP Ambositra,admis
140843,RAVELONIRINA Fano,AMBOVOMBE,EPP Antananarivo,admis
140850,RAKOTOARISOA Rina,AMBOVOMBE,EPP Nosy Be,admis
140817,RAHARINAIVO Voahirana,AMBOVOMBE,EPP Farafangana,admis
140835,RASOAMANARIVO Mampionona,AMBOVOMBE,EPP Maroantsetra,admis
140808,RAKOTONDRAZAKA Voara,AMBOVOMBE,EPP Antsiranana,non admis
140827,RAFANOMEZANTSOA Hery,AMBOVOMBE,EPP Fianarantsoa,admis
140820,RANDRIANARIVELO Malala,AMBOVOMBE,EPP Ambositra,admis
140846,RAKOTOBE Miora,AMBOVOMBE,EPP Ihosy,admis
140839,RAVELONIRINA Rivomalala,AMBOVOMBE,EPP Ambanja,admis
140844,RATOVO Fetra,AMBOVOMBE,EPP Maroantsetra,admis
140833,RANARIVELO Fahasina,AMBOVOMBE,EPP Toliara,admis
140884,RAZAKARIVONY Lalaina,AMBOVOMBE,EPP Antananarivo,admis
