matricule,name,cisco,studied_at,results
140368,RAKOTONANAHARY Tahina,AMBILOBE,EPP Andapa,admis
140303,RANDRIANAMPARANY Tahiry,AMBILOBE,EPP Ambatondrazaka,non admis
140328,RANDRIAMBOLOLONA Lalaina,AMBILOBE,EPP Bealanana,admis
140317,RAKOTONDRAMBOA Hasina,AMBILOBE,EPP Bekily,admis
140345,ANDRIAMATOA Mirana,AMBILOBE,EPP Farafangana,admis
140323,RANDRIANARIVELO Soava,AMBILOBE,EPP Antsiranana,admis
140359,RAKOTONDRAVAO Miora,AMBILOBE,EPP Ihosy,admis
140342,RAZAKARIVONY Herisoa,AMBILOBE,EPP Antalaha,admis
140360,RAJOELINA Lova,AMBILOBE,EPP Mahajanga,admis
140330,RANDRIANARIVELO Miora,AMBILOBE,EPP Bekily,admis
140312,RASOAMANARIVO Toky,AMBILOBE,EPP Maroantsetra,non admis
140381,RAKOTONANAHARY Fahasina,AMBILOBE,EPP Morondava,admis
140344,RAKOTONDRAVONY Randria,AMBILOBE,EPP Ambatondrazaka,admis
140392,RAKOTOBE Sarobidy,AMBILOBE,EPP Fianarantsoa,admis
140398,RAZAFINDRAKOTO Fitiavana,AMBILOBE,EPP Bealanana,admis
140329,RAVELONIRINA Fahasina,AMBILOBE,EPP Andapa,admis
140384,RAKOTOMANANA Hasina,AMBILOBE,EPP Maroantsetra,admis
140389,RAVELOMANANA Kintana,AMBILOBE,EPP Belo,admis
140348,RAHARIMANANA Hery,AMBILOBE,EPP Ihosy,admis
140308,RANDRIAMBOLOLONA Kanto,AMBILOBE,EPP Antananarivo,non admis
140354,RAHARINIRINA Mirana,AMBILOBE,EPP Ampanihy,admis
140346,RAKOTONDRAVONY Mirana,AMBILOBE,EPP Mananjary,admis
140350,RANDRIANARY Jean,AMBILOBE,EPP Antsiranana,admis
140349,RAKOTOMANANA Kanto,AMBILOBE,EPP Mahajanga,admis
140397,RANARIVELO Tiana,AMBILOBE,EPP Mahajanga,admis
140365,RAKOTONDRAVAO Fano,AMBILOBE,EPP Toliara,admis
140372,RAKOTONDRAMBOA Lalaina,AMBILOBE,EPP Antalaha,admis
140388,RAKOTONDRAVONY Voara,AMBILOBE,EPP Nosy Be,admis
140390,RANDRIANJOHARY Ando,AMBILOBE,EPP Bealanana,admis
140366,RAKOTONDRAZAKA Toky,AMBILOBE,EPP Ambatondrazaka,admis
140393,RANARIVELO Sarobidy,AMBILOBE,EPP Mananjary,admis
140374,RAHANTANIRINA Rado,AMBILOBE,EPP Mahajanga,admis
140331,RAZAKARIVONY Hery,AMBILOBE,EPP Antsiranana,admis
140338,RANDRIAMBOLOLONA Miora,AMBILOBE,EPP Bekily,admis
140313,RAKOTO Herisoa,AMBILOBE,EPP Antananarivo,non admis
140304,RAKOTOARISOA Mirana,AMBILOBE,EPP Mananjary,non admis
140377,RAFANOMEZANTSOA Haja,AMBILOBE,EPP Ambositra,admis
140378,RANDRIAMBOLOLONA Lalaina,AMBILOBE,EPP Nosy Be,admis
140383,RANDRIAMBOLOLONA Lova,AMBILOBE,EPP Ambovombe,admis
140362,RAKOTONDRAZAKA Lova,AMBILOBE,EPP Mananjary,admis
140353,RAHARISON Jean,AMBILOBE,EPP Nosy Be,admis
140300,RAKOTONANAHARY Ialy,AMBILOBE,EPP Antananarivo,non admis
140395,RAKOTOMANANA Tahina,AMBILOBE,EPP Ihosy,admis
140341,RASOANAIVO Koto,AMBILOBE,EPP Nosy Be,admis
140335,RANARIVELO Rivomalala,AMBILOBE,EPP Andapa,admis
140316,RANDRIAMBOLOLONA Soava,AMBILOBE,EPP Bealanana,admis
140385,RANDRIANJOHARY Ando,AMBILOBE,EPP Ambovombe,admis
140363,RANDRIANARY Tiana,AMBILOBE,EPP Maroantsetra,admis
140376,RAHARINIRINA Solofonirina,AMBILOBE,EPP Bekily,admis
140315,ANDRIAMATOA Voahangy,AMBILOBE,EPP Toliara,admis
140351,RAHARINAIVO Lova,AMBILOBE,EPP Toamasina,admis
140387,RANDRIAMBOLOLONA Tojo,AMBILOBE,EPP Maroantsetra,admis
140322,RAKOTOMAVO Tahiry,AMBILOBE,EPP Antsiranana,admis
140327,RATOVO Ialy,AMBILOBE,EPP Nosy Be,admis
140318,RASOANAIVO Rivomalala,AMBILOBE,EPP Ambanja,admis
140319,RANDRIAMBOLOLONA Ando,AMBILOBE,EPP Ambositra,admis
140301,RAZAKARIVONY Ando,AMBILOBE,EPP Morondava,non admis
140307,RAKOTOMALALA Toky,AMBILOBE,EPP Ambositra,non admis
140367,RANDRIANJOHARY Ialy,AMBILOBE,EPP Toamasina,admis
140380,RAKOTONIAINA Koto,AMBILOBE,EPP Toamasina,admis
