matricule,name,cisco,studied_at,results
140425,RAKOTOMAVO Fetra,AMBOASARY-SUD,EPP Ampanihy,admis
140458,RAKOTOMANANA Rina,AMBOASARY-SUD,EPP Antalaha,admis
140490,RANDRIAMBOLOLONA Zara,AMBOASARY-SUD,EPP Fianarantsoa,admis
140400,RAVELONIRINA Soa,AMBOASARY-SUD,EPP Mandritsara,non admis
140437,RAKOTOBE Miora,AMBOASARY-SUD,EPP Ampanihy,admis
140488,RANDRIAMBOLOLONA Rina,AMBOASARY-SUD,EPP Mahajanga,admis
140465,RAKOTOMANGA Toky,AMBOASARY-SUD,EPP Fianarantsoa,admis
140454,RANDRIAMANANTENA Toky,AMBOASARY-SUD,EPP Andapa,admis
140420,RANDRIANAMPARANY Jean,AMBOASARY-SUD,EPP Farafangana,admis
140449,RANOROMALALA Mahery,AMBOASARY-SUD,EPP Moramanga,admis
140446,RAKOTONDRABE Mirana,AMBOASARY-SUD,EPP Belo,admis
140426,RANDRIAMBOLOLONA Rivomalala,AMBOASARY-SUD,EPP Ambovombe,admis
140441,RAHARINAIVO Tsiry,AMBOASARY-SUD,EPP Mandritsara,admis
140434,RAZAKARIVONY Fetra,AMBOASARY-SUD,EPP Bekily,admis
140403,RAHARINAIVO Sarobidy,AMBOASARY-SUD,EPP Andapa,non admis
140480,RABEMANANTSOA Tsiry,AMBOASARY-SUD,EPP Bekily,admis
140408,RANDRIAMBOLOLONA Faly,AMBOASARY-SUD,EPP Antalaha,non admis
140482,RANDRIANARY Kanto,AMBOASARY-SUD,EPP Mandritsara,admis
140443,RAVELONIRINA Ialy,AMBOASARY-SUD,EPP Mahajanga,admis
140421,RAHARISON Tojo,AMBOASARY-SUD,EPP Toamasina,admis
140450,RANDRIANAMPARANY Miora,AMBOASARY-SUD,EPP Bealanana,admis
140468,RANDRIANASOLO Tahiry,AMBOASARY-SUD,EPP Ambovombe,admis
140402,RAHARINAIVO Lova,AMBOASARY-SUD,EPP Mananjary,non admis
140433,RATOVO Landy,AMBOASARY-SUD,EPP Ambovombe,admis
140456,RAVELONIRINA Tahina,AMBOASARY-SUD,EPP Toliara,admis
140447,RAHARISON Mirana,AMBOASARY-SUD,EPP Nosy Be,admis
140483,RAKOTONDRAMBOA Fetra,AMBOASARY-SUD,EPP Toamasina,admis
140424,RAKOTOMALALA Tahiry,AMBOASARY-SUD,EPP Farafangana,admis
140440,RAJOELINA Onja,AMBOASARY-SUD,EPP Mahajanga,admis
140419,RANDRIANASOLO Solofonirina,AMBOASARY-SUD,EPP Ambositra,admis
140486,RANDRIAMANANTENA Malala,AMBOASARY-SUD,EPP Ambatondrazaka,admis
140464,RANDRIANARIVELO Voahirana,AMBOASARY-SUD,EPP Mananjary,admis
140460,RAKOTONIRINA Landy,AMBOASARY-SUD,EPP Maroantsetra,admis
140404,RANDRIAMBOLOLONA Rina,AMBOASARY-SUD,EPP Manakara,non admis
140496,RAKOTONDRAMBOA Tovo,AMBOASARY-SUD,EPP Ambatondrazaka,admis
